"Coefficient","CpG"
0,"cg00281640"
0,"cg00282490"
0,"cg00282792"
0,"cg00284078"
0,"cg00286137"
0,"cg00286320"
0,"cg00286916"
0,"cg00289591"
0,"cg00290109"
0,"cg00290812"
0,"cg00292639"
0,"cg00293511"
0,"cg00294442"
0,"cg00295657"
0,"cg00296428"
0,"cg00297075"
0,"cg00298301"
0.430467387789666,"cg00300233"
0,"cg00301020"
0,"cg00304629"
0,"cg00307913"
0,"cg00308441"
0,"cg00309562"
0,"cg00309578"
0,"cg00310182"
0,"cg00310215"
0,"cg00314427"
0,"cg00316483"
0,"cg00321644"
0,"cg00323008"
0,"cg00323590"
0,"cg00323965"
0,"cg00324161"
0,"cg00324991"
0,"cg00325217"
0,"cg00325478"
0,"cg00325725"
0,"cg00331096"
0,"cg00331190"
0,"cg00331900"
0,"cg00332221"
0,"cg00334236"
0,"cg00339708"
0,"cg00345983"
0,"cg00349017"
0,"cg00349375"
0,"cg00350702.2"
0,"cg00351264"
0,"cg00356067"
0,"cg00360105"
0,"cg00360524"
0,"cg00364500"
0,"cg00367497"
0,"cg00370791"
0,"cg00370841"
0,"cg00374382"
0,"cg00379717"
0,"cg00380167"
0,"cg00381965"
0,"cg00383766"
0,"cg00385093"
0,"cg00386499"
0,"cg00386839"
0,"cg00388556"
0,"cg00389526"
0,"cg00393155"
0,"cg00393367"
0,"cg00398876"
0,"cg00399596"
0,"cg00400141"
0,"cg00401116"
0,"cg00401433"
0,"cg00402434"
0,"cg00403457"
0,"cg00407148"
0,"cg00409684"
0,"cg00411965"
0,"cg00414520"
0,"cg00418090"
0,"cg00418401"
0,"cg00422730"
0,"cg00424048"
0,"cg00424298"
0,"cg00424367"
0,"cg00424624"
0,"cg00426154"
0,"cg00426659"
0,"cg00437193"
0,"cg00439117"
0,"cg00442423"
0,"cg00443041"
0,"cg00444649"
0,"cg00445879"
0,"cg00449321"
0,"cg00451044"
0,"cg00452125"
0,"cg00453591"
0,"cg00455362"
0,"cg00457583"
0,"cg00459263"
0,"cg00462525"
0,"cg00463693"
0,"cg00464569"
0,"cg00464610"
0,"cg00464803"
0,"cg00465284"
0,"cg00466720"
0,"cg00470955"
0,"cg00470976"
0,"cg00471663"
0,"cg00471664"
0,"cg00471897"
0,"cg00472347"
0,"cg00472898"
0,"cg00472926"
0,"cg00473176"
0,"cg00474657"
0,"cg00476429"
0,"cg00477261"
0,"cg00483633"
0,"cg00484915"
0,"cg00485681"
0,"cg00486031"
0,"cg00486998"
0,"cg00489376"
0,"cg00489428"
0,"cg00493843"
0,"cg00493887"
0,"cg00495518"
0,"cg00499875"
0,"cg00499973"
0,"cg00500341"
0,"cg00500681"
0,"cg00504554"
0,"cg00505445"
0,"cg00507817"
0,"cg00508255"
0,"cg00510450"
0,"cg00512700"
0,"cg00513357"
0,"cg00515235"
0,"cg00519301"
0,"cg00519323"
0,"cg00519918"
0,"cg00522402"
0,"cg00522668"
0,"cg00523855"
0,"cg00524115"
0,"cg00529649"
0,"cg00531009"
0,"cg00531909"
0,"cg00533774"
0,"cg00538388"
0,"cg00539598"
0,"cg00540706"
0,"cg00542737"
0,"cg00543458"
0,"cg00545236"
0,"cg00546281"
0,"cg00548487"
0,"cg00548719"
0,"cg00549985"
0,"cg00550040"
0,"cg00551264"
0,"cg00551503"
0,"cg00553880"
0,"cg00553911"
0,"cg00557947"
0,"cg00559067"
0,"cg00562553"
0,"cg00563016"
0,"cg00563045"
0,"cg00564054"
0,"cg00566346"
0,"cg00567001"
0,"cg00568797"
0,"cg00569374"
0,"cg00570985"
0,"cg00571033"
0,"cg00571722"
0,"cg00573041"
0,"cg00576279"
0,"cg00577417"
0,"cg00578937"
0,"cg00582446"
0,"cg00585359"
0,"cg00589789"
0,"cg00590051"
0,"cg00591406"
0,"cg00593231"
0,"cg00593862"
0,"cg00594099"
0,"cg00594698"
0,"cg00595076"
0,"cg00595237"
0,"cg00597118"
0,"cg00597234"
0,"cg00597285"
0,"cg00597759"
0,"cg00598724"
0,"cg00604987"
0,"cg00608008"
0,"cg00608221"
0,"cg00611149"
0,"cg00611206"
0,"cg00612925"
0,"cg00614622"
0,"cg00615662"
0,"cg00618479"
0,"cg00619575"
0,"cg00621654"
0,"cg00622374"
0,"cg00623160"
0,"cg00633857"
0,"cg00634704"
0,"cg00640255"
0,"cg00643485"
0,"cg00645382"
0,"cg00649365"
0,"cg00650422"
0,"cg00651667"
0,"cg00653777"
0,"cg00656055"
0,"cg00658920"
0,"cg00659065"
0,"cg00660874"
0,"cg00662931"
0,"cg00665868"
0,"cg00666549"
0,"cg00670113"
0,"cg00670697"
0,"cg00672555"
0,"cg00672657"
0,"cg00672891"
0,"cg00673150"
0,"cg00674395"
0,"cg00675053"
0,"cg00675389"
0,"cg00676135"
0,"cg00678823"
0,"cg00684577"
0,"cg00685149"
0,"cg00688252"
0,"cg00688975"
0,"cg00689383"
0,"cg00689651"
0,"cg00691401"
0,"cg00694357"
0,"cg00696623"
0,"cg00697942"
0,"cg00700237"
0,"cg00703091"
0,"cg00704341"
0,"cg00704763"
0,"cg00708404"
0,"cg00711678"
0,"cg00713411"
0,"cg00715100"
0,"cg00716110"
0,"cg00716194"
0,"cg00716372"
0,"cg00720104"
0,"cg00720992"
0,"cg00726571"
0,"cg00727061"
0,"cg00727382"
0,"cg00730730"
0,"cg00731024"
0,"cg00731079"
0,"cg00738572"
0,"cg00738721"
0,"cg00741609"
0,"cg00742557"
0,"cg00743491"
0,"cg00745868"
0,"cg00746230"
0,"cg00746288"
0,"cg00748659"
0,"cg00751472"
0,"cg00752852"
0,"cg00753997"
0,"cg00758003"
0,"cg00758337"
0,"cg00763618"
0,"cg00764339"
0,"cg00767915"
0,"cg00770316"
0,"cg00772083"
0,"cg00773632"
0,"cg00774674"
0,"cg00775910"
0,"cg00776783"
0,"cg00777340"
0,"cg00777947"
0,"cg00780852"
0,"cg00782708"
0,"cg00783674"
0,"cg00783833"
0,"cg00784834"
0,"cg00784860"
0,"cg00785760"
0,"cg00786351"
0,"cg00787665"
0,"cg00788877"
0,"cg00791863"
0,"cg00793748"
0,"cg00794219"
0,"cg00794359"
0,"cg00794881"
0,"cg00795277"
0,"cg00797557"
0,"cg00798698"
0,"cg00802789"
0,"cg00806006"
0,"cg00806925"
0,"cg00807226"
0,"cg00809740"
0.0726047935614123,"cg00810217"
0,"cg00811020"
0,"cg00811221"
0,"cg00811894"
0,"cg00816192"
0,"cg00820579"
0,"cg00823568"
0,"cg00824176"
0,"cg00827518"
0,"cg00827935"
0,"cg00833037"
0,"cg00833227"
0,"cg00838278"
0,"cg00838881"
0,"cg00841581"
0,"cg00842325"
0,"cg00843792"
0,"cg00844490"
0,"cg00847015"
0,"cg00847072"
0,"cg00850663"
0,"cg00851901"
0,"cg00852595"
0,"cg00855091"
0,"cg00855890"
0,"cg00856080"
0,"cg00857016"
0,"cg00857814"
0,"cg00858647"
0,"cg00860188"
0,"cg00860189"
0,"cg00860225"
0,"cg00860361"
0,"cg00860838"
0,"cg00862066"
0,"cg00864083"
0,"cg00865002"
0,"cg00867443"
0,"cg00867949"
0,"cg00871526"
0,"cg00872748"
0,"cg00873201"
0,"cg00874874"
0,"cg00875779"
0,"cg00876235"
0,"cg00877739"
0,"cg00877778"
0,"cg00878023"
0,"cg00879119"
0,"cg00883967"
0,"cg00885424"
0,"cg00887636"
0,"cg00887670"
0,"cg00887982"
0,"cg00890651"
0,"cg00893471"
0,"cg00896157"
0,"cg00896209"
0,"cg00896768"
0,"cg00896947"
0,"cg00897537"
0,"cg00897651"
0,"cg00900456"
0,"cg00900734"
0,"cg00901685"
0,"cg00902032"
0,"cg00902275"
0,"cg00902440"
0,"cg00902716"
0,"cg00903815"
0,"cg00904423"
0,"cg00906973"
0,"cg00907438"
0,"cg00908601"
0,"cg00908709"
0,"cg00910419"
0,"cg00913314"
0,"cg00915004"
0,"cg00915395"
0,"cg00915901"
0,"cg00916651"
0,"cg00917676"
0,"cg00918383"
0,"cg00920372"
0,"cg00920973"
0,"cg00921109"
0,"cg00925802"
0,"cg00927851"
0,"cg00928703"
0,"cg00929113"
0,"cg00930337"
0,"cg00935474"
0,"cg00939855"
0,"cg00942997"
0,"cg00945808"
0,"cg00946032"
0,"cg00948634"
0,"cg00951891"
0,"cg00952114"
0,"cg00953859"
0,"cg00954002"
0,"cg00957001"
0,"cg00957471"
0,"cg00957561"
0,"cg00958552"
0,"cg00959147"
0,"cg00963092"
0,"cg00965104"
0,"cg00967908"
0,"cg00971828"
0,"cg00971969"
0,"cg00973544"
0,"cg00975350"
0,"cg00975442"
0,"cg00976203"
0,"cg00980719"
0,"cg00985561"
0,"cg00987824"
0,"cg00989341"
0,"cg00989791"
0,"cg00992842"
0,"cg00993368"
0,"cg00994804"
0,"cg00995686"
0,"cg01000173"
0,"cg01000178"
0,"cg01005773"
0,"cg01007604"
0,"cg01008025"
0,"cg01008443"
0,"cg01009870"
0,"cg01012005.1"
0,"cg01012005.2"
0,"cg01013124"
0,"cg01016328"
0,"cg01019040"
0,"cg01019608"
0.107543799553572,"cg01020408"
0,"cg01022861"
0,"cg01024113"
0,"cg01026140"
0,"cg01027323"
0,"cg01029325"
0,"cg01029859"
0,"cg01029944"
0,"cg01030727"
0,"cg01032683"
0,"cg01033833"
0,"cg01036505"
0,"cg01039531"
0,"cg01039540"
0,"cg01041720"
0,"cg01042193"
0,"cg01045331"
0,"cg01046634"
0,"cg01047218"
0,"cg01052585"
0,"cg01053921"
0,"cg01056020"
0,"cg01058499"
0,"cg01059743"
0,"cg01061575"
0,"cg01063757"
0,"cg01066008"
0,"cg01067793"
0,"cg01068768"
0,"cg01070983"
0,"cg01073946"
0,"cg01074811"
0,"cg01075824"
0,"cg01077341"
0,"cg01079397.1"
0,"cg01079453"
0,"cg01079751"
0,"cg01079812"
0,"cg01080993"
0,"cg01081765"
0,"cg01084584"
0,"cg01088303"
0,"cg01090334"
0,"cg01092932"
0,"cg01093482"
0,"cg01096459"
0,"cg01097137"
0,"cg01097606"
0,"cg01100740"
0,"cg01104009"
0,"cg01105418"
0,"cg01107103"
0,"cg01107215"
0,"cg01107503"
0,"cg01107534"
0,"cg01110553"
0,"cg01112551"
0,"cg01118057"
0,"cg01118731"
0,"cg01120624"
0,"cg01121770"
0,"cg01122770"
0,"cg01125381"
0,"cg01126232"
0,"cg01127608"
0,"cg01128516"
0,"cg01130580"
0,"cg01131263"
0,"cg01132510"
0,"cg01133215"
0,"cg01134518"
0,"cg01135274"
0,"cg01136078"
0,"cg01136382"
0,"cg01137681"
0,"cg01140958"
0,"cg01141580"
0,"cg01141741"
0,"cg01145031"
0,"cg01145947"
0,"cg01149078"
0,"cg01150262"
0,"cg01150494"
0,"cg01151827"
0,"cg01151874"
0,"cg01153166"
0,"cg01153660"
0,"cg01155266"
0,"cg01156745"
0,"cg01156877"
0,"cg01156934"
0,"cg01158430"
0,"cg01161521"
0,"cg01162115"
0,"cg01163805"
0,"cg01166318"
0,"cg01167388"
0,"cg01167936"
0,"cg01169686"
0,"cg01171212"
0,"cg01171272"
0,"cg01173053"
0,"cg01178121"
0,"cg01178999"
0,"cg01179128"
0,"cg01180566"
0,"cg01181227"
0,"cg01182628"
0,"cg01183821"
0,"cg01184817"
0,"cg01187271"
0,"cg01190601"
0,"cg01193554"
0,"cg01193706"
0,"cg01193810"
0,"cg01194087"
0,"cg01194316"
0,"cg01197044"
0,"cg01197537"
0,"cg01197840"
0,"cg01198287"
0,"cg01198746"
0,"cg01199420"
0,"cg01200261"
0,"cg01200904"
0,"cg01201498"
0,"cg01202508"
0,"cg01203708"
0,"cg01206394"
0,"cg01206957"
0,"cg01208948"
0,"cg01209857"
0,"cg01211648"
0,"cg01213047"
0,"cg01213247"
0,"cg01214458"
0,"cg01220605"
0,"cg01227261"
0,"cg01227361"
0,"cg01229752"
0,"cg01232138"
0,"cg01232762"
0,"cg01234044"
0,"cg01235968"
0,"cg01236822"
0,"cg01241934"
0,"cg01242319"
0,"cg01243312"
0,"cg01245471"
0,"cg01248517"
0,"cg01253807"
0,"cg01255766"
0,"cg01258695"
0,"cg01260478"
0,"cg01261613"
0,"cg01262663"
0.0583768838336973,"cg01266508"
0,"cg01267062"
0,"cg01267365"
0,"cg01273180"
0,"cg01273460"
0,"cg01273518"
0,"cg01280724"
0,"cg01280744"
0,"cg01284284"
0,"cg01286580"
0,"cg01290613"
0,"cg01291262"
0,"cg01292679"
0,"cg01292864"
0,"cg01293647"
0,"cg01293763"
0,"cg01294450"
0,"cg01296942"
0,"cg01301138"
0,"cg01301326"
0,"cg01301379"
0,"cg01302905"
0,"cg01304040"
0,"cg01308925"
0.215647409286001,"cg01309159"
0,"cg01314094"
0,"cg01314601"
0,"cg01315721"
0,"cg01316866"
0,"cg01316934"
0,"cg01324452"
0,"cg01324791"
0,"cg01325609"
0,"cg01327047"
0,"cg01328716"
0,"cg01329059"
0,"cg01329421"
0,"cg01332968"
0,"cg01333334"
0,"cg01334218"
0,"cg01334355"
0,"cg01336022"
0,"cg01336082"
0,"cg01336859"
0,"cg01337054"
0,"cg01337511"
0,"cg01339203"
0,"cg01340118"
0,"cg01340195"
0,"cg01341696"
0,"cg01342627"
0,"cg01343642"
0,"cg01343704"
0,"cg01344546"
0,"cg01346827"
0,"cg01347849"
0,"cg01349535"
0,"cg01351315"
0,"cg01351677"
0,"cg01352789"
0,"cg01352953"
0,"cg01356224"
0,"cg01357874"
0,"cg01359274"
0,"cg01360156"
0,"cg01362022"
0,"cg01368226"
0,"cg01370449"
0,"cg01370575"
0,"cg01371095"
0,"cg01374344"
0,"cg01374899"
0,"cg01376725"
0,"cg01378367"
0,"cg01380208"
0,"cg01383681"
0,"cg01387835"
0,"cg01391858"
0,"cg01392943"
0,"cg01393027"
0,"cg01393721"
0,"cg01393939"
0,"cg01397139"
0,"cg01398352"
0,"cg01399875"
0,"cg01403539"
0,"cg01403858"
0,"cg01408700"
0,"cg01409850"
0,"cg01410982"
0,"cg01416702"
0,"cg01422094"
0,"cg01427367"
0,"cg01428630"
0,"cg01428642"
0,"cg01429475"
0,"cg01429507"
0,"cg01431336"
0,"cg01434508"
0,"cg01438021"
0,"cg01440864"
0,"cg01441091"
0,"cg01444045"
0,"cg01444080"
0,"cg01447515"
0,"cg01448483"
0,"cg01451179"
0,"cg01452506"
0,"cg01455644"
0,"cg01456011"
0,"cg01456511"
0,"cg01456628"
0,"cg01456885"
0,"cg01459514"
0,"cg01460217"
0,"cg01460788"
0,"cg01460805"
0,"cg01460860"
0,"cg01461078"
0,"cg01462040"
0,"cg01463565"
0,"cg01464821"
0,"cg01468418"
0,"cg01468874"
0,"cg01472737"
0,"cg01475649"
0,"cg01475857"
0,"cg01476332"
0,"cg01476696"
0,"cg01483295"
0,"cg01483327"
0,"cg01485596"
0,"cg01486146"
0,"cg01489832"
0,"cg01494053"
0,"cg01494784"
0,"cg01495882"
0,"cg01498131"
0,"cg01499097"
0,"cg01503390"
0,"cg01505662"
0,"cg01507502"
0,"cg01509675"
0,"cg01510597"
0,"cg01510925"
0,"cg01511856"
0,"cg01512389"
0,"cg01513357"
0,"cg01513560"
0,"cg01515407"
0,"cg01517654"
0,"cg01521169"
0,"cg01522553"
0,"cg01523865"
0,"cg01524627"
0,"cg01524853"
0,"cg01526265"
0,"cg01527913"
0,"cg01528388"
0,"cg01530089"
0,"cg01530159"
0,"cg01531512"
0,"cg01533729"
0,"cg01534906"
0,"cg01535043"
0,"cg01537268"
0,"cg01537733"
0,"cg01537787"
0,"cg01538162"
0,"cg01546670"
0,"cg01551615"
0,"cg01552040"
0,"cg01553057"
0,"cg01553943"
0,"cg01554470"
0,"cg01556209"
0,"cg01558300"
0,"cg01562774"
0,"cg01565849"
0,"cg01566077"
0,"cg01567668"
0,"cg01571001"
0,"cg01571965"
0,"cg01572724"
0,"cg01573140"
0,"cg01578720"
0,"cg01579023"
0,"cg01579428"
0,"cg01580126"
0,"cg01580681"
0,"cg01581739"
0,"cg01584181"
0,"cg01586860"
0,"cg01588659"
0,"cg01589578"
0,"cg01589831"
0,"cg01591898"
0,"cg01592869"
0,"cg01594275"
0,"cg01594821"
0,"cg01599380"
0,"cg01600529"
0,"cg01606770"
0,"cg01607361"
0,"cg01608205"
0,"cg01608469"
0,"cg01611369"
0,"cg01611544"
0,"cg01611780"
0,"cg01612769"
0,"cg01614615"
0,"cg01614688"
0,"cg01618051"
0,"cg01619693"
0,"cg01619705"
0,"cg01620430"
0,"cg01622303"
0,"cg01626791"
0,"cg01630982"
0,"cg01631295"
0,"cg01631669"
0,"cg01632700"
0,"cg01633657"
0,"cg01634038"
0,"cg01635604"
0,"cg01636866"
0,"cg01637218"
0,"cg01637282"
0,"cg01639959"
0,"cg01641343"
0,"cg01643358"
0,"cg01643535"
0,"cg01645746"
0,"cg01648457"
0,"cg01648898"
0,"cg01650941"
0,"cg01651170"
0,"cg01655437"
0,"cg01655814"
0,"cg01657423"
0,"cg01658453"
0,"cg01658750"
0,"cg01663261"
0,"cg01664666"
0,"cg01665819"
0,"cg01667686"
0,"cg01669013"
0,"cg01670963"
0,"cg01671869"
0,"cg01674452"
0,"cg01675333"
0,"cg01676132"
0,"cg01676370"
0,"cg01676484"
0,"cg01678549"
0,"cg01682788"
0,"cg01683044"
0,"cg01685160"
0,"cg01686771"
0,"cg01687105"
0,"cg01689298"
0,"cg01689437"
0,"cg01689963"
0,"cg01691914"
0,"cg01693108"
0,"cg01695075"
0,"cg01695906"
0,"cg01698272"
0,"cg01698540"
0,"cg01700051"
0,"cg01700670"
0,"cg01700800"
0,"cg01700964"
0,"cg01701526"
0,"cg01702252"
0,"cg01702758"
0,"cg01703108"
0,"cg01705052"
0,"cg01705898"
0,"cg01710150"
0,"cg01711379"
0,"cg01712731"
0,"cg01712875"
0,"cg01713546"
0,"cg01716627"
0,"cg01717089"
0,"cg01717800"
0,"cg01718371"
0,"cg01724721"
0,"cg01725297"
0,"cg01726872"
0,"cg01726897"
0,"cg01727347"
0,"cg01733991"
0,"cg01736336"
0,"cg01739251"
0,"cg01740040"
0,"cg01740609"
0,"cg01740828"
0,"cg01741653"
0,"cg01742897"
0,"cg01743578"
0,"cg01745451"
0,"cg01746550"
0,"cg01750916"
0,"cg01751209"
0,"cg01751985"
0,"cg01752243"
0,"cg01753854"
0,"cg01754290"
0,"cg01756262"
0,"cg01757168"
0,"cg01757860"
0,"cg01758782"
0,"cg01759284"
0,"cg01759293"
0,"cg01759800"
0,"cg01761301"
0,"cg01766000"
0,"cg01767626"
0,"cg01768969"
0,"cg01771143"
0,"cg01771997"
0,"cg01772217"
0,"cg01778572"
0,"cg01782227"
0,"cg01783053"
0,"cg01784909"
0.229653615074553,"cg01786675"
0,"cg01787104"
0,"cg01787584"
0,"cg01789783"
0,"cg01791475"
0,"cg01793100"
0,"cg01795521"
0,"cg01796610"
0,"cg01798687"
0,"cg01801625"
0,"cg01802683"
0,"cg01804664"
0,"cg01808294"
0,"cg01809820"
0,"cg01811415"
0,"cg01814600"
0,"cg01814663"
0,"cg01818075"
0,"cg01819137"
0,"cg01824230"
0,"cg01824302"
0,"cg01827013"
0,"cg01834956"
0,"cg01836225"
0,"cg01836767"
0,"cg01838095"
0,"cg01838477"
0,"cg01839446"
0,"cg01845954"
0,"cg01846532"
0,"cg01846853"
0,"cg01848036"
0,"cg01848338"
0,"cg01850319"
0,"cg01851957"
0,"cg01855583"
0,"cg01857866"
0,"cg01863808"
0,"cg01873051"
0,"cg01880253"
0,"cg01881437"
0,"cg01882022"
0,"cg01885247"
0,"cg01888904"
0,"cg01890074"
0,"cg01890961"
0,"cg01893274"
0,"cg01895513"
0,"cg01898872"
0,"cg01899622"
0,"cg01901338"
0,"cg01901522"
0,"cg01901658"
0,"cg01902937"
0,"cg01908850"
0,"cg01910711"
0,"cg01911033"
0,"cg01912337"
0,"cg01913455"
0,"cg01914744"
0,"cg01915599"
0,"cg01922679"
0,"cg01923669"
0,"cg01928647"
0,"cg01928902"
0,"cg01930645"
0,"cg01931319"
0,"cg01932374"
0,"cg01932632"
0,"cg01933636"
0,"cg01933783"
0,"cg01935616"
0,"cg01938019"
0,"cg01938074"
0,"cg01938132"
0,"cg01938167"
0,"cg01939220"
0,"cg01939401"
0,"cg01940425"
0,"cg01942465"
0,"cg01943561"
0,"cg01946200"
0,"cg01946401.1"
0,"cg01946401.2"
0,"cg01949917"
0,"cg01950392"
0,"cg01950723"
0,"cg01952529"
0,"cg01955745"
0,"cg01956458"
0,"cg01960173"
0,"cg01961215"
0,"cg01961426"
0,"cg01962553"
0,"cg01962823"
0,"cg01965462"
0,"cg01965931"
0,"cg01966519"
0,"cg01968164"
0,"cg01973478"
0,"cg01973528"
0,"cg01975510"
0,"cg01975800"
0,"cg01979535"
0,"cg01980251"
0,"cg01981662"
0,"cg01981814"
0,"cg01982830"
0,"cg01987439"
0,"cg01988539"
0,"cg01989428"
0,"cg01990759"
0,"cg01992562"
0,"cg01996115"
0,"cg01996306"
0,"cg01997098"
0,"cg01998044"
0,"cg01998606"
0,"cg02000659"
0,"cg02002408"
0,"cg02003409"
0,"cg02003853"
0,"cg02005600"
0,"cg02005942"
0,"cg02007453"
0,"cg02008678"
0,"cg02009466"
0,"cg02013561"
0,"cg02014645"
0,"cg02016833"
0,"cg02019113"
0,"cg02019798"
0,"cg02019879"
0,"cg02021454"
0,"cg02023768"
0,"cg02026974"
0,"cg02027148"
0,"cg02028344"
0,"cg02029630"
0,"cg02030045"
0,"cg02032681"
0,"cg02034167"
0,"cg02037503"
0,"cg02040024"
0,"cg02040389"
0,"cg02041498"
0,"cg02041553"
0,"cg02041991"
0,"cg02043372"
0,"cg02043564"
0,"cg02044006"
0,"cg02044556"
0,"cg02047068"
0,"cg02048494"
0,"cg02049318"
0,"cg02052087"
0,"cg02052649"
0,"cg02052767"
0,"cg02055262"
0,"cg02055614"
0,"cg02056060"
0,"cg02056891"
0,"cg02057025"
0,"cg02057063"
0,"cg02058639"
0,"cg02059324"
0,"cg02060466"
0,"cg02061970"
0,"cg02063736"
0,"cg02064459"
0,"cg02071066"
0,"cg02071692"
0,"cg02072088"
0,"cg02073290"
0,"cg02073955"
0,"cg02074136"
0,"cg02074198"
0,"cg02075352"
0,"cg02077583"
0,"cg02082809"
0,"cg02083803"
0,"cg02086782"
0,"cg02088852"
0,"cg02090160"
0,"cg02090534"
0,"cg02093647"
0,"cg02095722"
0,"cg02097077"
0,"cg02097817"
0,"cg02102278"
0,"cg02103833"
0,"cg02104733"
0,"cg02105144"
0,"cg02105305"
0,"cg02105343"
0,"cg02106684"
0,"cg02106685"
0,"cg02107949"
0,"cg02111171"
0,"cg02115892"
0,"cg02119111"
0,"cg02120103"
0,"cg02122439"
0,"cg02132051"
0,"cg02135464"
0,"cg02136286"
0,"cg02136345"
0,"cg02136371"
0,"cg02136812"
0,"cg02136916"
0,"cg02139507"
0,"cg02140478"
0,"cg02142270"
0,"cg02144337"
0,"cg02145746"
0,"cg02145833"
0,"cg02151802"
0,"cg02153512"
0,"cg02153806"
0,"cg02156626"
0,"cg02157959"
0,"cg02159819"
0,"cg02162827"
0,"cg02162880"
0,"cg02163190"
0,"cg02164420"
0,"cg02165311"
0,"cg02166926"
0,"cg02167097"
0,"cg02168903"
0,"cg02172395"
0,"cg02172466"
0,"cg02174576"
0,"cg02175825"
0,"cg02175911"
0,"cg02176407"
0,"cg02177464"
0,"cg02182252"
0,"cg02183106"
0,"cg02183950"
0,"cg02184281"
0,"cg02185219"
0,"cg02186944"
0,"cg02187860"
0,"cg02188429"
0,"cg02188623"
0,"cg02188840"
0,"cg02192104"
0,"cg02192529"
0,"cg02192891"
0,"cg02193885"
0,"cg02197409"
0,"cg02200118"
0,"cg02201138"
0,"cg02201144"
0,"cg02202691"
0,"cg02203534"
0,"cg02204128"
0,"cg02205352"
0,"cg02206762"
0,"cg02208929"
0,"cg02209262"
0,"cg02210084"
0,"cg02211077"
0,"cg02211646"
0,"cg02212975"
0,"cg02215504"
0,"cg02216125"
0,"cg02219744"
0,"cg02219962"
0,"cg02221620"
0,"cg02221888"
0,"cg02222250"
0,"cg02222480"
0,"cg02227188"
0,"cg02228056"
0,"cg02229115"
0,"cg02229362"
0,"cg02231349"
0,"cg02231368"
0,"cg02234211"
0,"cg02237910"
0,"cg02238028"
